10/10/2014  10:51:30A,,,,CalibStd-5,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 634100.,,,,,,,,,,,, 21470.,, 46060.,, 3609000.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 42640.,,,,,,,,,,,,,,,,,,,,,, 9747.,,,,,,,,,, 4422.,,,,,, 219900.,, 143000.,,,,,, 131500.,, 74290.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1657000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  10:53:45A,,,,CalibStd-6,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 2973000.,,,,,,,,,,,, 105700.,, 225300.,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 49010.,,,,,,,,,,,,,,,, 1032000.,, 670100.,,,,,, 641100.,, 374800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  10:56:15A,,,,IPC,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,,F 1.108,,,,,,,,,,,,F 1.094,,F 1.095,, 2.105,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.040,,,,,,,,,,,,,,,,,,,,,,F 1.064,,,,,,,,,, 2.038,,,,,, 2.123,, 2.090,,,,,, 5.100,, 5.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  10:59:04A,,,,IPC,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,,F 1.104,,,,,,,,,,,,F 1.094,,F 1.097,, 2.124,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.034,,,,,,,,,,,,,,,,,,,,,,F 1.066,,,,,,,,,, 2.036,,,,,, 2.121,, 2.080,,,,,, 5.115,, 5.160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:01:54A,,,,IPC,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,,F 1.099,,,,,,,,,,,,F 1.096,,F 1.103,, 2.119,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.035,,,,,,,,,,,,,,,,,,,,,,F 1.055,,,,,,,,,, 2.034,,,,,, 2.121,, 2.074,,,,,, 5.075,, 5.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:29:51A,,,,Blank,,James,Cenovus3 (3),,,,,,,,,,,,,,,,,,,,,,, -41.20,,,,,,,,,,,, -56.29,, 25.23,, 1264.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1.186,,,,,,,,,,,,,,,,,,,,,, -29.73,,,,,,,,,, 3.445,,,,,, 2.980,, -.6742,,,,,, 2096.,, -28.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -50.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:31:51A,,,,CalibStd-1,,James,Cenovus3 (3),,,,,,,,,,,,,,,,,,,,,,, 3024.,,,,,,,,,,,, 112.2,, 399.5,, 26340.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 256.0,,,,,,,,,,,,,,,,,,,,,, 80.77,,,,,,,,,, 26.47,,,,,, 1103.,, 681.5,,,,,, 2771.,, 360.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8382.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:33:49A,,,,CalibStd-2,,James,Cenovus3 (3),,,,,,,,,,,,,,,,,,,,,,, 6091.,,,,,,,,,,,, 222.8,, 652.5,, 43800.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 495.2,,,,,,,,,,,,,,,,,,,,,, 228.7,,,,,,,,,, 53.43,,,,,, 2224.,, 1369.,,,,,, 3114.,, 569.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 16910.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:35:47A,,,,CalibStd-3,,James,Cenovus3 (3),,,,,,,,,,,,,,,,,,,,,,, 30740.,,,,,,,,,,,, 1074.,, 2537.,, 171700.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2156.,,,,,,,,,,,,,,,,,,,,,, 501.5,,,,,,,,,, 222.7,,,,,, 10910.,, 6717.,,,,,, 5712.,, 2114.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 82790.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:37:45A,,,,CalibStd-4,,James,Cenovus3 (3),,,,,,,,,,,,,,,,,,,,,,, 124500.,,,,,,,,,,,, 4250.,, 9629.,, 644200.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8467.,,,,,,,,,,,,,,,,,,,,,, 2092.,,,,,,,,,, 867.8,,,,,, 43640.,, 26990.,,,,,, 34720.,, 19340.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 328900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:39:54A,,,,CalibStd-5,,James,Cenovus3 (3),,,,,,,,,,,,,,,,,,,,,,, 601300.,,,,,,,,,,,, 20740.,, 46280.,, 2988000.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 40830.,,,,,,,,,,,,,,,,,,,,,, 10390.,,,,,,,,,, 4221.,,,,,, 212900.,, 132600.,,,,,, 129200.,, 74660.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1586000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:42:08A,,,,CalibStd-6,,James,Cenovus3 (3),,,,,,,,,,,,,,,,,,,,,,, 2860000.,,,,,,,,,,,, 102300.,, 227500.,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 52430.,,,,,,,,,,,,,,,, 996900.,, 628300.,,,,,, 621400.,, 368200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:44:40A,,,,IPC,,James,Cenovus3 (3),,,,,,,,,,,,,,,,,,,,,,,F 1.112,,,,,,,,,,,,F 1.093,,F 1.093,,F 2.106,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.052,,,,,,,,,,,,,,,,,,,,,,F 1.054,,,,,,,,,, 2.036,,,,,,F 2.153,,F 2.116,,,,,, 5.199,, 5.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Published:,,11/10/2015  2:32:31 PM,,,,,,,,21 - 1 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,,21 - 2 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,21 - 3 of 47,,,,Published:,11/10/2015  2:32:31 PM,,,,,,,21 - 4 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,21 - 5 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,21 - 6 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,21 - 7 of 47,,,Published:,,11/10/2015  2:32:31 PM,,,,,,21 - 8 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,21 - 9 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,,21 - 10 of 47,,,Published:,,11/10/2015  2:32:31 PM,,,,,,21 - 11 of 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ag3280,,Al3082,Al3961,,As1890,,Au2427,,B_2496,,B_2497,,Ba2304,,Ba4130,,Ba4554,,Ba,,Ba4934,,Be3130,,Bi2230,,Bi3067,,Ca,,Ca3158,,Ca3179,,Ca3933,,Cd2265,,Cd2288,,Ce4040,,Ce5353,,Co2286,,Co2311,,Co2388,,Cr2677,,Cu3247,,Dy3531,,Er3372,,Eu3819,,Fe2382,,Fe,,Fe2599,,Ga2943,,Gd3350,,Ge2651,,Hf3399,,Hg1942,,Ho3456,,In2306,,In3256,,Ir2242,,K,,K_7664,,La3337,,Li6707,,Lu2615,,Mg,,Mg2790,,Mg2852,,Mn2576,,Mn2593,,Mo2020,,Mo2848,,Na5889,,Na5895,,Na8183,,Nb3094,,Nd4012,,Ni2316,,Os2255,,P_2136,,Pb2203,,Pd3404,,Pr4143,,Pt2144,,Rh3434,,Ru2678,,S_1826,,Sb2068,,Sc3613,,Se1960,,Si2516,,Sm3306,,Sn1899,,Sr2152,,Sr2282,,Sr4077,,Sr,,Sr4215,,Ta2685,,Tb3509,,Te2142,,Th2837,,Ti3349,,Tl1908,,Tm3131,,U_3670,,V_3093,,W_2397,,Y_3710,,Yb3289,,Zn2138,,Zn2138,,Zr3391,
10/10/2014  11:47:31A,,,,Calib. Blank QC,,James,Cenovus3 (3),,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,, .0002,, .0005,, -.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0012,,,,,,,,,,,,,,,,,,,,,, -.0064,,,,,,,,,, -.0006,,,,,, .0000,, -.0000,,,,,, .0031,, -.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:49:33A,,,,QCS,,James,Cenovus3 (3),,,,,,,,,,,,,,,,,,,,,,,F 2.698,,,,,,,,,,,,F 2.691,,F 2.677,, 5.036,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4.963,,,,,,,,,,,,,,,,,,,,,,F 5.212,,,,,,,,,, 5.006,,,,,,F 5.284,, 5.224,,,,,, 25.59,, 25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:53:11A,,,,Blank,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, -53.73,,,,,,,,,,,, -55.42,, 29.07,, 1290.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4.173,,,,,,,,,,,,,,,,,,,,,, -43.75,,,,,,,,,, 3.848,,,,,, 6.083,, -.8242,,,,,, 2095.,, -45.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -42.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:55:11A,,,,CalibStd-1,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 3004.,,,,,,,,,,,, 109.0,, 393.1,, 26450.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 259.3,,,,,,,,,,,,,,,,,,,,,, 68.91,,,,,,,,,, 26.59,,,,,, 1102.,, 668.6,,,,,, 2763.,, 370.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8318.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:57:09A,,,,CalibStd-2,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 6037.,,,,,,,,,,,, 220.2,, 650.9,, 43840.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 489.7,,,,,,,,,,,,,,,,,,,,,, 240.1,,,,,,,,,, 48.62,,,,,, 2206.,, 1351.,,,,,, 3088.,, 569.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 16760.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  11:59:07A,,,,CalibStd-3,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 30610.,,,,,,,,,,,, 1079.,, 2545.,, 174000.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2150.,,,,,,,,,,,,,,,,,,,,,, 515.2,,,,,,,,,, 222.5,,,,,, 10900.,, 6677.,,,,,, 5737.,, 2138.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 82690.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  12:01:04P,,,,CalibStd-4,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 123300.,,,,,,,,,,,, 4247.,, 9624.,, 647600.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8444.,,,,,,,,,,,,,,,,,,,,,, 2088.,,,,,,,,,, 863.9,,,,,, 43410.,, 26770.,,,,,, 34530.,, 19280.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 327300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  12:03:14P,,,,CalibStd-5,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 599100.,,,,,,,,,,,, 20850.,, 46540.,, 2993000.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 40930.,,,,,,,,,,,,,,,,,,,,,, 10460.,,,,,,,,,, 4239.,,,,,, 213400.,, 132600.,,,,,, 128900.,, 74760.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1560000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  12:05:28P,,,,CalibStd-6,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 1166000.,,,,,,,,,,,, 40850.,, 91440.,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 20580.,,,,,,,,,,,,,,,, 1018000.,, 631200.,,,,,, 615800.,, 367200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3026000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  12:08:05P,,,,IPC,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 2.099,,,,,,,,,,,, 2.076,, 2.081,, 2.124,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.050,,,,,,,,,,,,,,,,,,,,,, 2.072,,,,,,,,,, 2.028,,,,,, 2.120,, 2.103,,,,,, 5.271,, 5.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  12:10:14P,,,,Calib. Blank QC,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, -.0003,,,,,,,,,,,, -.0002,, -.0003,, -.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0006,,,,,,,,,,,,,,,,,,,,,, .0004,,,,,,,,,, -.0004,,,,,, -.0001,, -.0001,,,,,, -.0052,, .0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  12:12:17P,,,,QCS,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 5.038,,,,,,,,,,,, 5.075,, 5.060,, 5.031,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4.914,,,,,,,,,,,,,,,,,,,,,, 9.942,,,,,,,,,, 4.965,,,,,, 5.145,, 5.128,,,,,, 25.34,, 25.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  12:14:34P,,,,Sample-1,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,,,, -.0022,, -.0013,, -.0020,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0005,,,,,,,,,,,,,,,,,,,,,, .0133,,,,,,,,,, -.0020,,,,,, .0003,, .0002,,,,,, .0097,, .0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  12:16:37P,,,,Sample-2,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, -.0000,,,,,,,,,,,, -.0018,, -.0035,, -.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0010,,,,,,,,,,,,,,,,,,,,,, -.0002,,,,,,,,,, -.0042,,,,,, -.0001,, -.0001,,,,,, .0050,, .0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  12:18:40P,,,,Sample-3,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, -.0002,,,,,,,,,,,, -.0020,, -.0028,, -.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0013,,,,,,,,,,,,,,,,,,,,,, .0094,,,,,,,,,, .0025,,,,,, -.0002,, -.0001,,,,,, .0042,, .0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014  12:20:43P,,,,QCS,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 5.040,,,,,,,,,,,, 5.060,, 5.060,, 5.095,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4.929,,,,,,,,,,,,,,,,,,,,,, 10.12,,,,,,,,,, 4.951,,,,,, 5.150,, 5.133,,,,,, 25.70,, 25.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2014   2:36:41P,,,,IPC,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,,W 2.149,,,,,,,,,,,, 2.077,, 1.985,,F 2.553,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.064,,,,,,,,,,,,,,,,,,,,,, 1.941,,,,,,,,,, 2.036,,,,,, 2.075,, 2.125,,,,,, 5.340,, 5.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F 2.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2014   2:39:35P,,,,IPC,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 2.131,,,,,,,,,,,, 2.077,, 1.973,,F 2.544,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.053,,,,,,,,,,,,,,,,,,,,,, 1.931,,,,,,,,,, 2.023,,,,,, 2.067,, 2.115,,,,,, 5.306,, 5.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F 2.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2014   2:42:25P,,,,IPC,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 2.138,,,,,,,,,,,, 2.071,, 1.976,,F 2.536,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.057,,,,,,,,,,,,,,,,,,,,,, 1.948,,,,,,,,,, 2.039,,,,,, 2.068,, 2.118,,,,,, 5.336,, 5.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F 2.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2014   2:48:09P,,,,Blank,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, -41.25,,,,,,,,,,,, -61.51,, 25.90,, 1651.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4.095,,,,,,,,,,,,,,,,,,,,,, -39.02,,,,,,,,,, 2.714,,,,,, 5.670,, -.3106,,,,,, 2030.,, -35.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -47.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2014   2:50:09P,,,,CalibStd-1,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 3049.,,,,,,,,,,,, 103.2,, 379.5,, 32380.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 261.0,,,,,,,,,,,,,,,,,,,,,, 69.76,,,,,,,,,, 26.17,,,,,, 1081.,, 677.9,,,,,, 2723.,, 367.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8638.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2014   2:52:07P,,,,CalibStd-2,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 6158.,,,,,,,,,,,, 218.7,, 621.0,, 53540.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 492.1,,,,,,,,,,,,,,,,,,,,,, 238.2,,,,,,,,,, 50.79,,,,,, 2191.,, 1365.,,,,,, 3043.,, 593.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 17410.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Published:,,11/10/2015  2:32:31 PM,,,,,,,,22 - 1 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,,22 - 2 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,22 - 3 of 47,,,,Published:,11/10/2015  2:32:31 PM,,,,,,,22 - 4 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,22 - 5 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,22 - 6 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,22 - 7 of 47,,,Published:,,11/10/2015  2:32:31 PM,,,,,,22 - 8 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,22 - 9 of 47,,,Published:,11/10/2015  2:32:31 PM,,,,,,,22 - 10 of 47,,,Published:,,11/10/2015  2:32:31 PM,,,,,,22 - 11 of 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ag3280,,Al3082,Al3961,,As1890,,Au2427,,B_2496,,B_2497,,Ba2304,,Ba4130,,Ba4554,,Ba,,Ba4934,,Be3130,,Bi2230,,Bi3067,,Ca,,Ca3158,,Ca3179,,Ca3933,,Cd2265,,Cd2288,,Ce4040,,Ce5353,,Co2286,,Co2311,,Co2388,,Cr2677,,Cu3247,,Dy3531,,Er3372,,Eu3819,,Fe2382,,Fe,,Fe2599,,Ga2943,,Gd3350,,Ge2651,,Hf3399,,Hg1942,,Ho3456,,In2306,,In3256,,Ir2242,,K,,K_7664,,La3337,,Li6707,,Lu2615,,Mg,,Mg2790,,Mg2852,,Mn2576,,Mn2593,,Mo2020,,Mo2848,,Na5889,,Na5895,,Na8183,,Nb3094,,Nd4012,,Ni2316,,Os2255,,P_2136,,Pb2203,,Pd3404,,Pr4143,,Pt2144,,Rh3434,,Ru2678,,S_1826,,Sb2068,,Sc3613,,Se1960,,Si2516,,Sm3306,,Sn1899,,Sr2152,,Sr2282,,Sr4077,,Sr,,Sr4215,,Ta2685,,Tb3509,,Te2142,,Th2837,,Ti3349,,Tl1908,,Tm3131,,U_3670,,V_3093,,W_2397,,Y_3710,,Yb3289,,Zn2138,,Zn2138,,Zr3391,
10/15/2014   2:54:05P,,,,CalibStd-3,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 31500.,,,,,,,,,,,, 1078.,, 2420.,, 211200.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2166.,,,,,,,,,,,,,,,,,,,,,, 487.9,,,,,,,,,, 224.4,,,,,, 10780.,, 6778.,,,,,, 5725.,, 2162.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 86160.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2014   2:56:04P,,,,CalibStd-4,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 126600.,,,,,,,,,,,, 4237.,, 9164.,, 787100.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8482.,,,,,,,,,,,,,,,,,,,,,, 2025.,,,,,,,,,, 869.3,,,,,, 42820.,, 27090.,,,,,, 35060.,, 19540.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 345900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2014   2:58:13P,,,,CalibStd-5,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 615400.,,,,,,,,,,,, 20900.,, 44590.,, 3639000.,,,,,,,,,,,,,,,,,,,,,,,,,,,, 41450.,,,,,,,,,,,,,,,,,,,,,, 10210.,,,,,,,,,, 4277.,,,,,, 211800.,, 136100.,,,,,, 134500.,, 77440.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1670000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2014   3:00:29P,,,,CalibStd-6,,James,Cenovus3 (4),,,,,,,,,,,,,,,,,,,,,,, 1214000.,,,,,,,,,,,, 41000.,, 87230.,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 19840.,,,,,,,,,,,,,,,, 1009000.,, 648100.,,,,,, 645300.,, 377100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3155000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
